system:time_start,R10252,R10171,R10070
"May 23, 1997",,,345.112
"Sep 21, 1997",740.781,619.987,637.329
"May 3, 1998",725.922,513.873,384.455
"Jul 22, 1998",674.862,547.945,475.039
"Jul 29, 1998",722.75,,
"May 29, 1999",,,
"Jul 16, 1999",734.219,,
"Aug 2, 1999",716.162,534.247,456.476
"Aug 3, 1999",,515.982,
"Sep 19, 1999",737.363,637.216,560.029
"Sep 27, 1999",798.629,793.309,540.958
"Jun 24, 2000",709.768,,
"Jun 26, 2000",,493.243,
"Aug 4, 2000",762.781,553.767,508.421
"Sep 21, 2000",711.351,637.483,548.193
"Jul 22, 2001",679.412,583.61,498.689
"Aug 16, 2001",,603.117,
"Jul 9, 2002",651.546,601.108,348.252
"Jul 28, 2003",617.542,498.324,281.076
"Jul 29, 2003",,,
"Aug 4, 2003",636.905,,
"Aug 28, 2003",658.596,,
"Aug 29, 2003",644.144,493.047,266.821
"Sep 29, 2003",606.684,,
"Sep 30, 2003",675.676,484.594,189.02
"May 11, 2004",,399.883,
"May 18, 2004",487.301,,
"Jun 3, 2004",540.587,,
"Jul 23, 2004",,,
"Jul 30, 2004",580.412,328.042,238.541
"May 5, 2005",520.622,,
"Jul 25, 2005",514.136,295.665,314.097
"Aug 11, 2005",,134.185,
"Aug 18, 2005",619.102,201.923,254.902
"Aug 25, 2005",549.766,,
"May 9, 2006",456.954,109.464,124.472
"Jun 9, 2006",,,
"Jun 10, 2006",,,253.17
"Jun 26, 2006",592.574,210.754,334.949
"Jul 3, 2006",654.66,,
"Aug 20, 2006",576.06,,
"Sep 5, 2006",527.735,,301.799
"Sep 23, 2006",,243.939,
"May 12, 2007",629.39,440.404,55.71
"May 28, 2007",522.328,82.302,82.434
"Jul 7, 2007",537.841,238.451,321.992
"Aug 1, 2007",,161.877,
"Aug 15, 2007",,,
"Sep 9, 2007",,221.818,241.916
"Sep 10, 2007",,165.344,
"May 31, 2008",,51.158,
"Jul 2, 2008",,233.417,
"Jul 24, 2008",558.654,,
"May 1, 2009",647.253,476.834,165.242
"May 2, 2009",,454.9,
"Jun 1, 2009",606.479,,
"Jun 2, 2009",540.242,136.026,151.288
"Jun 3, 2009",,,
"Jun 9, 2009",,,215.615
"Jul 11, 2009",658.043,,
"Jul 12, 2009",,317.753,359.642
"Jul 20, 2009",571.357,311.303,346.249
"Jul 27, 2009",660.671,,403.204
"Jul 28, 2009",632.278,383.417,405.803
"Jul 29, 2009",,,
"Aug 6, 2009",,,
"Aug 29, 2009",645.822,379.439,330.697
"Aug 30, 2009",,219.881,
"Sep 22, 2009",595.28,232.068,232.281
"Sep 23, 2009",,,
"May 11, 2010",551.482,,
"Jul 6, 2010",,,
"Jul 7, 2010",620.482,,344.814
"Jul 24, 2010",,,
"Jul 30, 2010",676.906,,
"Aug 15, 2010",699.329,,
"Aug 16, 2010",635.593,352.504,355.04
"Aug 17, 2010",,394.768,
"Sep 2, 2010",,200.432,
"Sep 17, 2010",596.362,244.131,195.531
"Sep 26, 2010",,,
"Jun 8, 2011",537.13,115.866,433.746
"Sep 11, 2011",675.992,,
"May 26, 2012",,78.329,181.976
"Aug 5, 2012",622.857,412.346,400.342
"Sep 6, 2012",684.332,425.215,355.727
"May 3, 2013",528.061,,
"Jul 15, 2013",588.895,-173.784,369.224
"Sep 10, 2013",,-149.117,
"May 6, 2014",-405.823,,
"Jul 10, 2014",-455.045,-52.096,401.53
"Jul 17, 2014",,,
"Aug 2, 2014",-381.008,,
"Aug 3, 2014",-485.157,-22.578,-15.693
"Aug 11, 2014",-376.529,163.265,
"Sep 5, 2014",,,
"May 11, 2015",,-294.279,
"May 17, 2015",-370.149,,
"Jul 4, 2015",,,
"Jul 5, 2015",-281.746,121.872,-274.107
"Jul 6, 2015",,118.739,
"Aug 6, 2015",-196.872,,-208.914
"May 5, 2016",,,
"Aug 24, 2016",174.787,197.705,107.517
"Aug 25, 2016",,240.518,
"Jun 23, 2017",206.293,,
"Aug 2, 2017",186.617,,
"Aug 3, 2017",232.236,291.266,150.466
"Aug 10, 2017",324.967,,
"Sep 4, 2017",286.863,365.169,184.584
